Dune: Part Two,166,3D,SF/Aventura,30.000000
Inside Out 2,100,3D,Animatie/Comedie,24.000000
Inception,148,2D,SF/Thriller,25.000000
The Batman,176,2D,Actiune,27.000000
Avatar: The Way of Water,192,3D,SF/Aventura,35.000000
Oppenheimer,180,2D,Drama/Istoric,30.000000
Poor Things,141,2D,Drama/Comedie,22.000000
Spider-Man: Beyond the Spider-Verse,140,2D,Animatie/Actiune,26.000000
Interstellar,169,3D,SF/Drama,28.000000
The Dark Knight,152,2D,Actiune/Crime,26.000000
Joker,122,2D,Drama/Thriller,24.000000
Barbie,114,2D,Comedie/Fantezie,23.000000
The Godfather,175,2D,Crime/Drama,25.000000
Pulp Fiction,154,2D,Crime/Thriller,22.000000
La La Land,128,2D,Muzical/Romantic,24.000000
Whiplash,106,2D,Drama/Muzical,21.000000
Parasite,132,2D,Thriller/Drama,23.000000
The Conjuring,112,2D,Horror/Mister,20.000000
A Quiet Place,90,2D,Horror/SF,21.000000
Coco,105,3D,Animatie/Familie,22.000000
Frozen II,103,3D,Animatie/Muzical,23.000000
Top Gun: Maverick,131,3D,Actiune/Aventura,27.000000
Gladiator,155,2D,Actiune/Istoric,25.000000
Forrest Gump,142,2D,Drama/Comedie,22.000000
The Matrix,136,2D,SF/Actiune,24.000000
Mad Max: Fury Road,120,3D,Actiune/Aventura,26.000000
Everything Everywhere All at Once,139,2D,SF/Comedie,24.000000
Knives Out,130,2D,Mister/Comedie,23.000000
1917,119,2D,Razboi/Drama,25.000000
Soul,100,3D,Animatie/Drama,22.000000
The Wild Robot,102,3D,Animatie/Familie,23.000000
