Popcorn Mare,Popcorn cu unt 500g,15.000000,40
Popcorn Mic,Popcorn cu unt 250g,10.000000,28
Cola Mare,Coca-Cola 500ml,12.000000,15
Cola Mica,Coca-Cola 250ml,8.000000,30
Apa Plata,Aqua Carpatica 500ml,7.000000,43
Ciocolata Milka,Milka Lapte 100g,9.000000,18
Bomboane Haribo,Haribo Mix 100g,7.000000,25
Suc Natural,Suc portocale 330ml,10.000000,20
Hot Dog,Hot dog cu mustar si ketchup,18.000000,19
Inghetata Cornetto,Cornetto Clasic,11.000000,16
Nachos,Nachos cu sos de branza 200g,16.000000,14
M&Ms,M&Ms arahide 90g,8.000000,22
Pepsi Mare,Pepsi 500ml,12.000000,24
Popcorn Caramel,Popcorn caramelizat 400g,17.000000,21
Cafea Espresso,Cafea espresso proaspata,9.000000,30
Pizza Slice,Felie pizza Margherita,15.000000,12
Bere Fara Alcool,Bere fara alcool 330ml,11.000000,18
Floricele Dulci,Floricele cu zahar 300g,13.000000,17
